Chaining methods - time (ms),Intermediate variables - time (ms)
37038,15833
11474,41777
26310,81734
59547,11752
9516,24803
40549,65656
6897,18109
93271,16669
22091,6878
41543,8439
59671,9617
42684,33132
19350,8044
13339,10277
8927,13965
235060,19791
74443,20927
23946,10746
21232,24610
12764,11066
40587,11872
41134,22343
19240,15167
7800,45440
11500,56389
52500,26290
34703,12415
11132,12326
22641,14190
11772,13500
10151,87000
16286,69500
23231,16920
7700,105815
6615,66145
7463,73642
31309,8970
14145,10410
53840,55152
9256,92142
12110,29944
11080,10917
25586,36712
34150,11792
21736,3670
9003,24354
13576,63275
13589,23303
20382,68433
61498,26333
9392,27180
23464,20113
25028,113681
19519,14201
11447,12287
13058,43427
12361,21192
17365,46827
19359,66778
8745,21100
11760,22204
48601,262206
16090,170696
9990,47625
20699,14987
135774,23567
11393,28690
9626,50860
21249,51540
10049,69818
11032,13546
41169,34810
11415,109207
11739,22027
77747,29109
13643,17622
35193,61879
17045,15970
15186,18562
73511,99651
11424,6453
28228,12805
102738,13881
26039,28813
8524,92586
9710,107564
8191,35346
123558,28629
16828,26495
27455,83627
28350,23605
195277,111846
23485,50540
20034,16935
32050,14572
17491,19918
100446,51091
13579,25654
14912,12906
54672,12270
12207,50456
57826,8521
10735,107962
11345,103844
16066,56612
12945,7739
11231,9134
62186,10900
10794,16827
75152,30102
25236,36993
9794,19927
27649,61173
84297,27973
11008,57975
17959,177576
14813,13559
17900,67849
86107,13758
12539,26432
11024,11755
21753,16066
38904,55652
9840,47051
25192,24593
58770,132982
32534,124104
45876,21182
25898,63572
76534,20291
19184,35638
19075,100532
36080,25691
16051,8825
22497,22176
19853,22020
18070,109131
89380,102545
42718,18290
14204,12565
27818,17017
27857,15908
16936,22116
14103,30678
28992,17137
11669,21754
75320,62829
14190,24752
13330,113419
16531,111730
13554,52922
11576,19665
20967,20853
145962,55075
12338,65926
16989,17758
89610,47481
52218,90676
12136,17111
30135,20921
17273,57545
31512,11890
12892,15531
25373,24146
75765,37992
19019,71561
108249,23432
91972,14733
12907,70698
34647,31141
25790,73772
18243,75910
28520,19450
29349,17578
31243,103660
44172,24145
15908,19457
13844,14810
97753,32210
9922,91528
12767,49046
95186,32930
96491,73397
24852,58875
47746,21049
47442,176076
8842,89699
10251,18761
19137,31777
12318,68489
26130,14611
62827,49440
61139,19372
57845,128565
17381,34913
31726,33185
64703,22333
105348,100602
9131,217154
52358,15642
45664,75233
14390,19450
91411,20341
25239,38349
13208,37400
16872,11539
9241,18511
7434,22306
18613,14682
21367,81784
27900,78998
13082,13617
12876,99476
17701,13188
57083,23656
25274,13217
8174,38298
48013,23576
7796,24701
17890,60521
13038,81871
12537,20777
41377,21320
26059,14559
86303,10147
12952,31725
15613,32464
18358,16961
23008,10119
10227,96217
,21689
,26667
,12176
,44977
,24079
,107945
,22402
,21326
,168718
,119429
,76421
,38718